Drug Reaction,rash,sudden_itching,sudden_drug_reaction
Drug Reaction,persistent_drug_reaction
Drug Reaction,swelling,mild_rash,persistent_nausea
Drug Reaction,itching,severe_fever,intermittent_rash
Drug Reaction,drug_reaction,swelling,itching
Drug Reaction,fever,rash,drug_reaction,itching
Drug Reaction,fever,intermittent_drug_reaction,sudden_itching
Drug Reaction,swelling,itching,mild_rash,nausea,fever
Drug Reaction,fever,swelling
Drug Reaction,rash,nausea
Drug Reaction,mild_itching,swelling,rash,moderate_drug_reaction
Drug Reaction,sudden_itching,swelling,nausea
Drug Reaction,persistent_rash,mild_itching,fever,drug_reaction
Drug Reaction,persistent_nausea,rash,itching,drug_reaction
Drug Reaction,intermittent_itching,drug_reaction,sudden_fever,rash,swelling
Drug Reaction,mild_fever,moderate_itching,nausea,swelling,rash
Drug Reaction,intermittent_fever,moderate_rash,drug_reaction,moderate_swelling
Drug Reaction,nausea,drug_reaction,itching,rash
Drug Reaction,moderate_nausea,fever,moderate_rash,drug_reaction
Drug Reaction,nausea
Drug Reaction,intermittent_rash,fever,intermittent_itching,nausea,mild_swelling
Drug Reaction,rash,itching
Drug Reaction,fever,moderate_itching,persistent_swelling,drug_reaction
Drug Reaction,swelling,drug_reaction,rash
Drug Reaction,nausea,itching,sudden_fever
Drug Reaction,itching,fever
Drug Reaction,nausea
Drug Reaction,itching,nausea,persistent_swelling,severe_drug_reaction,rash
Drug Reaction,sudden_swelling,drug_reaction,severe_rash,fever,itching
Drug Reaction,swelling
Drug Reaction,itching
Drug Reaction,rash,itching,mild_swelling
Drug Reaction,rash,severe_nausea,itching
Drug Reaction,rash,drug_reaction
Drug Reaction,itching,drug_reaction,fever,nausea,sudden_rash
Drug Reaction,swelling,rash,intermittent_drug_reaction
Drug Reaction,rash
Drug Reaction,drug_reaction,itching
Drug Reaction,rash,nausea,itching,persistent_drug_reaction,swelling
Drug Reaction,swelling,persistent_fever
Drug Reaction,drug_reaction,severe_itching,nausea
Drug Reaction,rash,itching,sudden_fever
Drug Reaction,persistent_drug_reaction,nausea,itching
Drug Reaction,nausea,swelling,rash
Drug Reaction,rash
Drug Reaction,fever,moderate_rash
Drug Reaction,nausea,rash,fever
Drug Reaction,rash,fever,swelling,drug_reaction
Drug Reaction,itching,nausea,fever,rash
Drug Reaction,swelling,mild_itching,rash
Drug Reaction,rash,drug_reaction,intermittent_nausea
Drug Reaction,swelling,intermittent_nausea,fever
Drug Reaction,swelling,nausea,fever,drug_reaction
Drug Reaction,swelling,severe_itching,nausea
Drug Reaction,intermittent_drug_reaction,intermittent_fever,rash,nausea
Drug Reaction,intermittent_itching,rash,swelling
Drug Reaction,nausea,fever,drug_reaction
Drug Reaction,itching,moderate_rash,fever,moderate_drug_reaction
Drug Reaction,fever,mild_drug_reaction,rash
Drug Reaction,sudden_drug_reaction,fever,rash
Drug Reaction,itching,nausea,drug_reaction,swelling
Drug Reaction,itching,rash,swelling
Drug Reaction,intermittent_itching,mild_nausea,fever
Drug Reaction,severe_fever,itching,moderate_swelling
Drug Reaction,itching,nausea
Drug Reaction,fever
